severity,fault_count,imbalance,vector_id,first_divergence_sa,early_config,group_config,early_pattern,group_pattern,early_release,group_release,early_donor,group_donor,early_ledger_after_divergence,group_ledger_after_divergence,early_failure_position,group_final_success,mechanism,critical_later_resource
HIGH,28,moderate,6801,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,B,YES,GROUP_RELEASES_RESOURCE,A_ROW
HIGH,28,moderate,6811,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,B,YES,GROUP_RELEASES_RESOURCE,A_ROW
HIGH,28,moderate,6814,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,B,YES,GROUP_RELEASES_RESOURCE,A_ROW
HIGH,28,moderate,6826,A,CFG0,CFG4,2,2,0,1,NONE,NONE,0,1,C,YES,GROUP_RELEASES_RESOURCE,D_ROW
HIGH,28,moderate,6839,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
HIGH,28,moderate,6845,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,B,YES,GROUP_RELEASES_RESOURCE,A_ROW
HIGH,28,moderate,6862,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
HIGH,28,moderate,6867,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
HIGH,28,moderate,6881,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,B,YES,GROUP_RELEASES_RESOURCE,A_ROW
HIGH,28,moderate,6898,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,C,YES,GROUP_RELEASES_RESOURCE,D_ROW
HIGH,28,moderate,6900,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,B,YES,GROUP_RELEASES_RESOURCE,A_ROW
HIGH,28,moderate,6901,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,B,YES,GROUP_RELEASES_RESOURCE,A_ROW
HIGH,28,moderate,6943,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,C,YES,GROUP_RELEASES_RESOURCE,D_ROW
HIGH,28,moderate,6973,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,B,YES,GROUP_RELEASES_RESOURCE,A_ROW
HIGH,28,moderate,6989,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,C,YES,GROUP_RELEASES_RESOURCE,D_ROW
HIGH,28,moderate,6992,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,B,YES,GROUP_RELEASES_RESOURCE,A_ROW
HIGH,28,moderate,6996,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,C,YES,GROUP_RELEASES_RESOURCE,D_ROW
HIGH,28,moderate,7005,A,CFG0,CFG4,2,2,0,1,NONE,NONE,0,1,C,YES,GROUP_RELEASES_RESOURCE,D_ROW
HIGH,28,moderate,7017,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
HIGH,28,moderate,7023,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,D,YES,GROUP_RELEASES_RESOURCE,C_COL
HIGH,28,moderate,7043,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,C,YES,GROUP_RELEASES_RESOURCE,D_ROW
HIGH,28,moderate,7044,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,B,YES,GROUP_RELEASES_RESOURCE,A_ROW
HIGH,28,moderate,7049,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,C,YES,GROUP_RELEASES_RESOURCE,D_ROW
HIGH,28,moderate,7063,A,CFG0,CFG4,2,2,0,1,NONE,NONE,0,1,B,YES,GROUP_RELEASES_RESOURCE,A_ROW
HIGH,28,moderate,7074,A,CFG0,CFG4,2,2,0,1,NONE,NONE,0,1,B,YES,GROUP_RELEASES_RESOURCE,A_ROW
HIGH,28,moderate,7075,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,C,YES,GROUP_RELEASES_RESOURCE,D_ROW
HIGH,28,moderate,7104,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,B,YES,GROUP_RELEASES_RESOURCE,A_ROW
HIGH,28,moderate,7106,A,CFG0,CFG4,2,2,0,1,NONE,NONE,0,1,B,YES,GROUP_RELEASES_RESOURCE,A_ROW
HIGH,28,moderate,7110,A,CFG0,CFG4,1,2,0,1,NONE,NONE,0,1,C,YES,GROUP_RELEASES_RESOURCE,D_ROW
HIGH,28,moderate,7116,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,B,YES,GROUP_RELEASES_RESOURCE,A_ROW
HIGH,28,moderate,7118,A,CFG0,CFG4,1,1,0,1,NONE,NONE,0,1,C,YES,GROUP_RELEASES_RESOURCE,D_ROW
